nome,vendedor,reviews,preco_antigo,preco_atual
Nome: Mochila Viagem Feminina Masculina Para Notebook Executiva,Vendedor: não encontrado,Avaliação: 4.9 (4214 reviews),Preço antigo: R$249,Preço atual: R$110
Nome: Tripé Para Projetor De Laptop Ajustável Com Rodas Universais,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$299,Preço atual: R$275
"Nome: Notebook Lenovo Ideapad 1 Intel Core i3 1215U 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" 82VY000SBR",Vendedor: Por Eshop,Avaliação: 4.8 (5552 reviews),Preço antigo: R$3.699,Preço atual: R$2.730
"Nome: Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 8GB RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' HD - 82VY000QBR",Vendedor: Por Vikings,Avaliação: 4.8 (4667 reviews),Preço antigo: R$4.199,Preço atual: R$3.099
"Nome: Notebook Samsung Galaxy Book4 Intel® U300 (1.20 Ghz, até 4.4GHz, 8 MB L3 Cache), Windows 11 Home, 8GB, 256GB SSD, UHD Graphics, 15.6'' Full HD LED, 1.55kg",Vendedor: Por Vikings,Avaliação: 4.8 (8333 reviews),Preço antigo: R$4.499,Preço atual: R$2.999
"Nome: Notebook VAIO FE15 Intel Core i5 12th 16GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Windows 11 Home Cinza Grafite B2621H",Vendedor: Por INPOWER,Avaliação: 4.8 (716 reviews),Preço antigo: R$4.599,Preço atual: R$3.699
"Nome: Notebook Positivo Duo 2 em 1 Intel Celeron C4128B-3 4GB 128GB 11,6"" IPS HD Windows 11",Vendedor: Por Positivo,Avaliação: 4.5 (5081 reviews),Preço antigo: R$1.649,Preço atual: R$1.299
Nome: Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,Vendedor: Por Mobcom,Avaliação: 4.9 (462 reviews),Preço antigo: R$7.000,Preço atual: R$5.099
"Nome: Notebook ASUS Vivobook Go E1504GA Intel Core i3 N305 8GB Ram 512GB SSD Windows 11 Tela 15,6"" FHD Silver - NJ435W",Vendedor: Por Asus,Avaliação: 4.9 (721 reviews),Preço antigo: R$3.199,Preço atual: R$2.975
"Nome: Notebook Positivo Vision Intel Core i3 8gb RAM 256gb Ssd Tela 15.6"" Full Hd Linux - Preto",Vendedor: Por 123 Comprou,Avaliação: 4.6 (128 reviews),Preço antigo: R$3.284,Preço atual: R$2.249
"Nome: Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 15,6'' Cinza - Ub261",Vendedor: Por 123 Comprou,Avaliação: 4.5 (409 reviews),Preço antigo: R$2.055,Preço atual: R$1.439
Nome: Notebook Vaio Intel Core I7 10ª Geração 16gb Ssd 256gb Cinza (Recondicionado),Vendedor: Por Canal Eletro,Avaliação: — (— reviews),Preço antigo: —,Preço atual: R$1.899
Nome: Notebook Acer Aspire 15 A15-51M-56KR / Intel® Core™ i5-13420H 13ª geração / 16 GB / 512SSD / 15.6” Full HD,Vendedor: Por Vikings,Avaliação: 4.8 (507 reviews),Preço antigo: R$4.855,Preço atual: R$3.399
Nome: Notebook Gamer Acer Nitro V Intel Core i7 13ª Geração 16GB 512GB RTX4050 Linux Gutta 15.6' FHD ANV15-51-7037,Vendedor: Por Acer Brasil,Avaliação: 4.8 (1904 reviews),Preço antigo: R$7.299,Preço atual: R$6.299
