nome,vendedor,reviews,preco_antigo,preco_atual
Nome: Case Compatível Com Base Inferior Inferior Novo Para,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$259,Preço atual: R$246
Nome: Capa Traseira Compatível Com Latitude 3330,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$221,Preço atual: R$210
"Nome: Notebook Lenovo Ideapad 1 Intel Core i3 1215U 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" 82VY000SBR",Vendedor: Por Vikings,Avaliação: 4.8 (6087 reviews),Preço antigo: R$3.998,Preço atual: R$2.463
Nome: Notebook Acer Nitro 51uz Ci5 13ªg 16gb Ram 512ssd Rtx4050,Vendedor: Por Acer Brasil,Avaliação: 4.9 (21 reviews),Preço antigo: R$6.999,Preço atual: R$5.199
Nome: Notebook Vaio Fe15 Amd Ryzen 5 8gb Ram 256gb Windows 11 Home Cor Cinza,Vendedor: não encontrado,Avaliação: 4.8 (91 reviews),Preço antigo: R$3.563,Preço atual: R$2.999
"Nome: Notebook Samsung Galaxy Book4 Intel® U300 (1.20 Ghz, até 4.4GHz, 8 MB L3 Cache), Windows 11 Home, 8GB, 256GB SSD, UHD Graphics, 15.6'' Full HD LED, 1.55kg",Vendedor: Por Vikings,Avaliação: 4.8 (9114 reviews),Preço antigo: R$4.499,Preço atual: R$3.099
"Nome: Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 8GB RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' HD - 82VY000QBR",Vendedor: Por Vikings,Avaliação: 4.8 (5072 reviews),Preço antigo: R$4.199,Preço atual: R$2.911
Nome: Notebook Acer Gamer Nitro V15 Intel Core i7 13ª Ger. 32GB 512SSD RTX3050 com 6GB GDDR6 Nvidia GeForce Linux Gutta ANV15-51-73BP,Vendedor: Por Vikings,Avaliação: 4.8 (206 reviews),Preço antigo: R$8.998,Preço atual: R$5.984
Nome: Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,Vendedor: Por Mobcom,Avaliação: 4.9 (627 reviews),Preço antigo: R$7.000,Preço atual: R$5.099
"Nome: Notebook Asus X515 Intel Celeron Dual Core N4500 4gb Ram 128gb Ssd Windows 11 Home Tela 15,6 Led Hd Slate Grey - Br309ws",Vendedor: não encontrado,Avaliação: 4.7 (919 reviews),Preço antigo: R$2.033,Preço atual: R$1.598
Nome: Notebook Gamer Predator Helios Neo / Phn16-72-74vx / Intel® Core I7-14700hx De 14ªgeração / 16gb / 512ssd / Windows 11 Home / Nvidia Geforce Rtx 4070 Gddr6 / Tela 16,Vendedor: Por Acer Brasil,Avaliação: 4.8 (145 reviews),Preço antigo: R$12.999,Preço atual: R$9.999
Nome: Notebook Acer Aspire 5 A515-45-r0xr Ryzen7 8gb 256gb Ssd 15.6 Full Hd Linux Gutta,Vendedor: Por Vikings,Avaliação: 4.8 (932 reviews),Preço antigo: R$4.141,Preço atual: R$2.754
"Nome: Notebook Positivo Vision Intel Core i3 8gb RAM 256gb Ssd Tela 15.6"" Full Hd Linux - Preto",Vendedor: Por 123 Comprou,Avaliação: 4.6 (213 reviews),Preço antigo: R$3.212,Preço atual: R$2.024
Nome: Notebook Gamer Acer Nitro V Intel Core i7 13ª Geração 16GB 512GB RTX4050 Linux Gutta 15.6' FHD ANV15-51-7037,Vendedor: Por Acer Brasil,Avaliação: 4.8 (2112 reviews),Preço antigo: R$7.299,Preço atual: R$6.099
"Nome: Notebook Lenovo IdeaPad 1 15IAU7 Intel Core i7-1255U HD 15.6"" Intel Iris Xe 512GB SSD 12GB RAM Windows 11- 82VY000PBR",Vendedor: Por Carrefour,Avaliação: 4.7 (289 reviews),Preço antigo: R$4.799,Preço atual: R$3.915
"Nome: Notebook VAIO FE15 Intel Core i5 12th 16GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Windows 11 Home Cinza Grafite B2621H",Vendedor: Por INPOWER,Avaliação: 4.8 (897 reviews),Preço antigo: R$4.599,Preço atual: R$3.699
"Nome: Notebook ASUS Vivobook Go 15 E510KA Intel Celeron Dual Core N4500 4GB Ram 128GB EMMC Windows 11 Home 15,60"" HD Black - BR808WS",Vendedor: Por Asus,Avaliação: 4.4 (124 reviews),Preço antigo: R$1.999,Preço atual: R$1.618
"Nome: Notebook Gamer ASUS TUF Gaming A15 AMD Ryzen 7 7435HS 3,1 GHz RTX3050 16GB RAM 512GB SSD Windows 11 Home Tela 15,6 144Hz IPS FHD Graphite Black - FA506NCR-HN088W",Vendedor: Por Mercado Livre,Avaliação: 4.9 (78 reviews),Preço antigo: R$6.499,Preço atual: R$5.999
"Nome: Notebook ASUS Vivobook Go 15 E1504 AMD RYZEN 5 7520U 8GB Ram 256GB SSD Linux KeepOS 15,6” FHD Black E1504FA-NJ731",Vendedor: Por Mercado Livre,Avaliação: 4.8 (1056 reviews),Preço antigo: R$2.729,Preço atual: R$2.593
"Nome: Notebook Positivo Vision R15 Lumina Bar, AMD Ryzen 5 8GB 256GB, Tela 15 polegadas Full HD Antirreflexo, Linux - Preto",Vendedor: Por 123 Comprou,Avaliação: 4.7 (79 reviews),Preço antigo: R$3.284,Preço atual: R$2.299
Nome: Notebook VAIO FE16 AMD Ryzen 5-5625U Linux 8GB RAM 256GB SSD Wi-Fi 6 Tela 16'' IPS WUXGA Antirreflexo - Cinza Grafite - Vjfe69f11x-b0411h - Permite upgrade de memória RAM e SSD,Vendedor: Por 123 Comprou,Avaliação: 4.8 (63 reviews),Preço antigo: R$4.570,Preço atual: R$2.969
