nome;vendedor;Avaliação;reviews;preco_antigo;preco_atual;source;data
Notebook Lenovo Thinkpad T480 14  I5 8ª 8gb Ssd 256gb;Micro Livre;4.7;68.0;1799.0;1673.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Lenovo E14 G2core I5-113g7  8gb De Ram Nvme De 256gb W10 Pro;Micro Livre;;;2899.0;2754.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
"Notebook Lenovo Ideapad 1 Intel Core i3 1215U 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" 82VY000SBR";Eshop;4.8;5440.0;3699.0;2320.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 512gb Ssd Linux Keepos Intel Iris Xe Tela 15,6 Led Fhd Silver - Nj1741;Asus;5.0;7.0;3099.0;2663.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Samsung Galaxy Book4 Intel® U300 (1.20 Ghz, até 4.4GHz, 8 MB L3 Cache), Windows 11 Home, 8GB, 256GB SSD, UHD Graphics, 15.6'' Full HD LED, 1.55kg;Vikings;4.8;8175.0;4499.0;2899.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Acer Aspire 5 Ryzen 7 15.6 Radeon 512gb 8gb Linux;Mobcom;4.8;979.0;4999.0;3099.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Lenovo T480 Core I5-8ªth 16gb Ssd 240gb Tela Hd Cor Black - Excelente (Recondicionado);Micro Livre;;;;1849.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Acer A515-57-5429 Intel Core i5-12450H 16GB RAM 512GB SSD Tela de 15,6'' Linux Gutta;Mercado Livre;4.8;1456.0;4285.0;2999.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Gamer Acer Nitro V Intel Core i7 13ª Geração 16GB 512GB RTX4050 Linux Gutta 15.6' FHD ANV15-51-7037;Acer Brasil;4.8;1872.0;;7299.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Dell Inspiron I15-i120k-a25p I5 8gb 512gb 15.6 W11;Dell;4.8;1802.0;3698.0;3339.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
