nome,vendedor,Avaliação,reviews,preco_antigo,preco_atual
Notebook Lenovo Thinkpad T480 14  I5 8ª 8gb Ssd 256gb,Micro Livre,4.7,68,1.799,1.673
Lenovo E14 G2core I5-113g7  8gb De Ram Nvme De 256gb W10 Pro,Micro Livre,Avaliação não encontrada,reviews não encontrados,2.899,2.754
"Notebook Lenovo Ideapad 1 Intel Core i3 1215U 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" 82VY000SBR",Eshop,4.8,5440,3.699,2.32
"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 512gb Ssd Linux Keepos Intel Iris Xe Tela 15,6 Led Fhd Silver - Nj1741",Asus,5.0,7,3.099,2.663
"Notebook Samsung Galaxy Book4 Intel® U300 (1.20 Ghz, até 4.4GHz, 8 MB L3 Cache), Windows 11 Home, 8GB, 256GB SSD, UHD Graphics, 15.6'' Full HD LED, 1.55kg",Vikings,4.8,8175,4.499,2.899
Notebook Acer Aspire 5 Ryzen 7 15.6 Radeon 512gb 8gb Linux,Mobcom,4.8,979,4.999,3.099
Notebook Lenovo T480 Core I5-8ªth 16gb Ssd 240gb Tela Hd Cor Black - Excelente (Recondicionado),Micro Livre,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,1.849
"Notebook Acer A515-57-5429 Intel Core i5-12450H 16GB RAM 512GB SSD Tela de 15,6'' Linux Gutta",Mercado Livre,4.8,1456,4.285,2.999
Notebook Gamer Acer Nitro V Intel Core i7 13ª Geração 16GB 512GB RTX4050 Linux Gutta 15.6' FHD ANV15-51-7037,Acer Brasil,4.8,1872,Preço não encontrado,7.299
Notebook Dell Inspiron I15-i120k-a25p I5 8gb 512gb 15.6 W11,Dell,4.8,1802,3.698,3.339
"Notebook Asus X515 Intel Celeron Dual Core N4500 4gb Ram 128gb Ssd Windows 11 Home Tela 15,6 Led Hd Slate Grey - Br309ws",Vendedor não encontrado,4.7,622,Preço não encontrado,1.666
"Notebook Positivo Duo 2 em 1 Intel Celeron C4128B-3 4GB 128GB 11,6"" IPS HD Windows 11",Positivo,4.5,5028,1.649,1.349
"Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 8GB RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' HD - 82VY000QBR",Vikings,4.8,4606,4.199,2.999
"Notebook Positivo Vision Intel Core i3 8gb RAM 256gb Ssd Tela 15.6"" Full Hd Linux - Preto",123 Comprou,4.6,115,3.284,2.024
Notebook Lenovo Ideapad 1i Celeron Office 365 4gb 128gb W11,Vikings,4.7,418,2.712,1.785
"Notebook VAIO FE15 Intel Core i5 12th 16GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Windows 11 Home Cinza Grafite B2621H",INPOWER,4.8,692,4.599,3.699
"Notebook Gamer Acer Nitro V ANV15-51-57WS Intel® Core™ i5-13420H 13ªGeração 512SSD 8GB Nvidia® GeForce® RTX 3050 GDDR6 Linux Gutta 15,6'",Acer Brasil,4.8,3389,5.299,4.649
Notebook Acer Predator Gamer Phn16-71-72w6 I7-13650hx 16gb 512gb Ssd Rtx 4060 Windows 11 Home Tela 16 Wuxga,Acer Brasil,4.9,872,Preço não encontrado,10.999
Notebook Acer Aspire 15 A15-51M-56KR / Intel® Core™ i5-13420H 13ª geração / 16 GB / 512SSD / 15.6” Full HD,Vikings,4.8,487,4.855,3.399
Notebook Positivo Vision C14 Lumina BAR Celeron 4GB 128GB eMMC Tela 14 Polegadas HD Antirreflexo Windows 11 Tecla Link Cinza,Positivo,4.6,4343,1.799,1.378
Notebook Acer Aspire 5 A515-45-r0xr Ryzen7 8gb 256gb Ssd 15.6 Full Hd Linux Gutta,Vikings,4.8,749,4.141,2.754
