nome,vendedor,reviews,preco_antigo,preco_atual
Nome: Notebook Lenovo Thinkpad T480 14  I5 8ª 8gb Ssd 256gb,Vendedor: Por Micro Livre,Avaliação: 4.7 (68 reviews),Preço antigo: R$1.799,Preço atual: R$1.673
Nome: Lenovo E14 G2core I5-113g7  8gb De Ram Nvme De 256gb W10 Pro,Vendedor: Por Micro Livre,Avaliação: — (— reviews),Preço antigo: R$2.899,Preço atual: R$2.754
"Nome: Notebook Lenovo Ideapad 1 Intel Core i3 1215U 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" 82VY000SBR",Vendedor: Por Eshop,Avaliação: 4.8 (5440 reviews),Preço antigo: R$3.699,Preço atual: R$2.320
"Nome: Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 512gb Ssd Linux Keepos Intel Iris Xe Tela 15,6 Led Fhd Silver - Nj1741",Vendedor: Por Asus,Avaliação: 5.0 (7 reviews),Preço antigo: R$3.099,Preço atual: R$2.663
"Nome: Notebook Samsung Galaxy Book4 Intel® U300 (1.20 Ghz, até 4.4GHz, 8 MB L3 Cache), Windows 11 Home, 8GB, 256GB SSD, UHD Graphics, 15.6'' Full HD LED, 1.55kg",Vendedor: Por Vikings,Avaliação: 4.8 (8175 reviews),Preço antigo: R$4.499,Preço atual: R$2.899
Nome: Notebook Acer Aspire 5 Ryzen 7 15.6 Radeon 512gb 8gb Linux,Vendedor: Por Mobcom,Avaliação: 4.8 (979 reviews),Preço antigo: R$4.999,Preço atual: R$3.099
Nome: Notebook Lenovo T480 Core I5-8ªth 16gb Ssd 240gb Tela Hd Cor Black - Excelente (Recondicionado),Vendedor: Por Micro Livre,Avaliação: — (— reviews),Preço antigo: —,Preço atual: R$1.849
"Nome: Notebook Acer A515-57-5429 Intel Core i5-12450H 16GB RAM 512GB SSD Tela de 15,6'' Linux Gutta",Vendedor: Por Mercado Livre,Avaliação: 4.8 (1456 reviews),Preço antigo: R$4.285,Preço atual: R$2.999
Nome: Notebook Gamer Acer Nitro V Intel Core i7 13ª Geração 16GB 512GB RTX4050 Linux Gutta 15.6' FHD ANV15-51-7037,Vendedor: Por Acer Brasil,Avaliação: 4.8 (1872 reviews),Preço antigo: —,Preço atual: R$7.299
Nome: Notebook Dell Inspiron I15-i120k-a25p I5 8gb 512gb 15.6 W11,Vendedor: Por Dell,Avaliação: 4.8 (1802 reviews),Preço antigo: R$3.698,Preço atual: R$3.339
"Nome: Notebook Asus X515 Intel Celeron Dual Core N4500 4gb Ram 128gb Ssd Windows 11 Home Tela 15,6 Led Hd Slate Grey - Br309ws",Vendedor: não encontrado,Avaliação: 4.7 (622 reviews),Preço antigo: —,Preço atual: R$1.666
"Nome: Notebook Positivo Duo 2 em 1 Intel Celeron C4128B-3 4GB 128GB 11,6"" IPS HD Windows 11",Vendedor: Por Positivo,Avaliação: 4.5 (5028 reviews),Preço antigo: R$1.649,Preço atual: R$1.349
"Nome: Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 8GB RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' HD - 82VY000QBR",Vendedor: Por Vikings,Avaliação: 4.8 (4606 reviews),Preço antigo: R$4.199,Preço atual: R$2.999
"Nome: Notebook Positivo Vision Intel Core i3 8gb RAM 256gb Ssd Tela 15.6"" Full Hd Linux - Preto",Vendedor: Por 123 Comprou,Avaliação: 4.6 (115 reviews),Preço antigo: R$3.284,Preço atual: R$2.024
Nome: Notebook Lenovo Ideapad 1i Celeron Office 365 4gb 128gb W11,Vendedor: Por Vikings,Avaliação: 4.7 (418 reviews),Preço antigo: R$2.712,Preço atual: R$1.785
"Nome: Notebook VAIO FE15 Intel Core i5 12th 16GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Windows 11 Home Cinza Grafite B2621H",Vendedor: Por INPOWER,Avaliação: 4.8 (692 reviews),Preço antigo: R$4.599,Preço atual: R$3.699
"Nome: Notebook Gamer Acer Nitro V ANV15-51-57WS Intel® Core™ i5-13420H 13ªGeração 512SSD 8GB Nvidia® GeForce® RTX 3050 GDDR6 Linux Gutta 15,6'",Vendedor: Por Acer Brasil,Avaliação: 4.8 (3389 reviews),Preço antigo: R$5.299,Preço atual: R$4.649
Nome: Notebook Acer Predator Gamer Phn16-71-72w6 I7-13650hx 16gb 512gb Ssd Rtx 4060 Windows 11 Home Tela 16 Wuxga,Vendedor: Por Acer Brasil,Avaliação: 4.9 (872 reviews),Preço antigo: —,Preço atual: R$10.999
Nome: Notebook Acer Aspire 15 A15-51M-56KR / Intel® Core™ i5-13420H 13ª geração / 16 GB / 512SSD / 15.6” Full HD,Vendedor: Por Vikings,Avaliação: 4.8 (487 reviews),Preço antigo: R$4.855,Preço atual: R$3.399
Nome: Notebook Positivo Vision C14 Lumina BAR Celeron 4GB 128GB eMMC Tela 14 Polegadas HD Antirreflexo Windows 11 Tecla Link Cinza,Vendedor: Por Positivo,Avaliação: 4.6 (4343 reviews),Preço antigo: R$1.799,Preço atual: R$1.378
Nome: Notebook Acer Aspire 5 A515-45-r0xr Ryzen7 8gb 256gb Ssd 15.6 Full Hd Linux Gutta,Vendedor: Por Vikings,Avaliação: 4.8 (749 reviews),Preço antigo: R$4.141,Preço atual: R$2.754
"Nome: Notebook Acer Aspire 3 Intel Core I3 - N305, 8G RAM, 256GB SSD, Windows 11 Home, Tela 15,6"" Full HD - A315-510P-34XC 110V/220V",Vendedor: Por Mercado Livre,Avaliação: 4.8 (8937 reviews),Preço antigo: R$3.682,Preço atual: R$2.584
"Nome: Notebook ASUS Vivobook Go E1504GA Intel Core i3 N305 8GB Ram 512GB SSD Windows 11 Tela 15,6"" FHD Silver - NJ435W",Vendedor: Por Asus,Avaliação: 4.9 (710 reviews),Preço antigo: R$3.199,Preço atual: R$2.389
Nome: Notebook Acer Gamer Nitro V15 Intel Core i7 13ª Ger. 32GB 512SSD RTX3050 com 6GB GDDR6 Nvidia GeForce Linux Gutta ANV15-51-73BP,Vendedor: Por Vikings,Avaliação: 4.9 (179 reviews),Preço antigo: R$8.998,Preço atual: R$6.299
